User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
John Ryan,7859706,1106306,5/12/2020,98830,"Red Cliff, CO",Bike & Car Accident,11/28/2020,01/19/2021,16041,7043,0,2607491,58
Susan Clevenger,7331450,5873533,4/23/2020,28368,"Gwynn, VA",Multiple Car Accident,07/14/2021,07/18/2021,14056,33446,0,1407926,56
John Legg,2966609,3001049,3/23/2020,17718,"Lac La Belle, WI",Single Car Accident,08/08/2020,01/27/2021,13753,33061,0,9232722,54
Jennifer Haecker,4678030,5944995,10/18/2020,19001,"Gayle Mill, SC",Single Car Accident,10/19/2021,11/26/2021,13839,18184,1,6805662,26
Sarah Deleon,9586619,5340326,4/16/2020,70172,"Camp Point, IL",Hit and Run,03/20/2021,09/02/2021,10767,44094,1,2746604,52
Sheila Cardwell,1435144,9430892,1/13/2020,62252,"South Cleveland, TN",Bike & Car Accident,06/06/2020,06/26/2021,11121,51912,0,4258069,55
Danielle Dietzler,6717879,1787677,9/1/2020,13391,"Brooklyn, OH",Bike & Car Accident,12/10/2020,08/20/2021,14836,44266,0,2739456,37
Michael Graves,7470643,3034627,10/25/2020,39246,"Elfin Cove, AK",Single Car Accident,08/31/2021,10/16/2021,17958,48116,0,6873460,27
Raphael Croft,8750456,5766311,2/24/2020,41945,"Grove City, PA",Auto Theft,03/24/2020,09/11/2020,15097,51375,1,2487884,16
Juana Roberts,8050746,1259425,1/5/2020,14736,"Scottsboro, AL",Auto Theft,03/12/2021,06/21/2021,9539,56348,0,5225341,61
Richard Arnold,8236059,9500052,6/6/2020,11672,"Doylestown, WI",Auto Theft,11/13/2020,01/22/2021,15090,39877,0,5449745,49
Jerold Culpepper,9304734,3925929,12/8/2020,78815,"Chums Corner, MI",Hit and Run,11/25/2021,11/27/2021,10720,33153,0,8632457,24
Jason Foy,1836152,6126190,10/8/2020,36945,"Ocean Grove, NJ",Bike & Car Accident,02/03/2021,09/24/2021,16832,37424,0,9005941,40
Debra Cooper,4731627,2772176,2/20/2020,21431,"Ventress, LA",Auto Theft,08/07/2021,10/24/2021,12783,52529,0,4295471,34
Ruby Katon,2084218,2762233,10/27/2020,73938,"Lincolnville, SC",Multiple Car Accident,08/16/2021,10/22/2021,3821,29010,1,6185995,49
Dennis Lejeune,9877399,1769347,4/24/2020,73217,"Lewiston, MN",Auto Theft,01/21/2021,02/23/2021,14407,43877,1,7084619,37
Tracey Koeppen,8467152,2027174,10/14/2020,70777,"Taft Southwest, TX",Auto Theft,11/05/2020,08/20/2021,7163,49330,1,2965834,35
Diane Harris,1014616,2978311,9/15/2020,72314,"Epes, AL",Hit and Run,05/05/2021,05/28/2021,14902,32804,1,3821496,37
