User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Mamie Treleven,6578809,8701803,3/12/2020,48541,"Zephyrhills West, FL",Hit and Run,04/14/2021,11/05/2021,11208,26377,0,8872141,22
Frieda Hernandez,5749290,1622118,12/9/2020,93026,"McGregor, IA",Auto Theft,05/05/2021,11/12/2021,11090,59738,0,5491994,40
Larry Dow,9411200,4972985,1/5/2020,19283,"Murrysville, PA",Multiple Car Accident,07/11/2020,06/24/2021,16005,29996,0,2477977,46
Joan Hayashi,8200861,8058333,10/16/2020,42073,"Minburn, IA",Bike & Car Accident,07/19/2021,10/03/2021,7591,20897,0,5338770,27
Roy Fortier,6897657,1004615,5/15/2020,56461,"Boys Town, NE",Auto Theft,12/10/2020,04/09/2021,6111,8385,1,8127199,52
Cierra Moore,8413324,1907061,7/20/2020,56138,"Wenonah, IL",Auto Theft,07/04/2021,11/07/2021,15881,25975,0,8828932,18
Brad Miller,1776201,6468545,9/21/2020,71557,"King of Prussia, PA",Single Car Accident,10/15/2020,11/02/2020,5618,16736,1,4062365,36
Erik Anaya,3345819,3792092,3/25/2020,76519,"Winters, CA",Single Car Accident,01/20/2021,01/20/2021,15095,21151,0,5503402,25
Russell Scott,3667892,3025123,1/17/2020,78678,"Chesapeake, VA",Auto Theft,03/26/2021,11/13/2021,19407,59517,1,7908532,50
Bernard Stalnaker,1873216,1499868,7/9/2020,33695,"Terre du Lac, MO",Auto Theft,09/28/2020,04/25/2021,9196,33871,0,4231583,61
Eddie Bruton,3600041,2388617,3/10/2020,54338,"Orrick, MO",Multiple Car Accident,05/27/2020,10/15/2021,11410,38138,0,5927214,44
Paul Pacheco,1662330,4629914,8/1/2020,49155,"Seal Beach, CA",Hit and Run,03/27/2021,10/21/2021,19456,43484,0,2724325,30
Kimberley Mccall,6865572,7837765,3/12/2020,27946,"Deal, NJ",Multiple Car Accident,09/17/2020,04/19/2021,6334,33635,1,6439782,16
William Jarvi,8106002,2286682,1/25/2020,92380,"Neihart, MT",Multiple Car Accident,05/15/2020,10/13/2021,17911,12563,0,9129689,17
Marie Mickelsen,4831939,1005495,6/13/2020,86706,"Oak Shores, CA",Single Car Accident,08/07/2021,09/24/2021,8566,6895,0,3223270,40
Mark Driskell,3870639,6622544,5/1/2020,37990,"Valley Hi, OH",Hit and Run,07/02/2020,04/22/2021,19863,19979,0,4053563,53
Edward Gallahan,4015316,1681380,1/5/2020,78862,"Broadview Park, FL",Single Car Accident,08/13/2020,10/22/2021,11810,5501,0,5148122,41
