User Name,Driver Id,5246457,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Gena Greer,7489441,6379395,2/8/2020,39416,"Muskego, WI",Bike & Car Accident,05/01/2021,05/25/2021,5142,23850,0,7906429,20
Margaret Turk,2188035,5962078,11/28/2020,69910,"Henryville, IN",Single Car Accident,03/02/2021,04/18/2021,19221,24976,1,8626899,53
Mildred Witmer,7420519,9280906,12/10/2020,52822,"Owings, MD",Auto Theft,04/29/2021,05/28/2021,9649,59991,0,1054773,61
Karrie Dannis,1607900,2584543,3/6/2020,53507,"Marueno, PR",Single Car Accident,08/25/2020,12/30/2020,7950,54717,0,4380005,54
Cari Romain,3911904,7724921,10/17/2020,44890,"Lost Hills, CA",Multiple Car Accident,01/10/2021,05/18/2021,13646,45185,1,5158925,23
Cornelius Robinson,1464827,2155266,2/14/2020,30600,"Kenmore, NY",Hit and Run,04/08/2020,04/16/2021,17817,14892,0,9955699,59
Jon Humphreys,4111336,9057346,10/23/2020,60201,"Edgewater, MD",Single Car Accident,06/13/2021,06/30/2021,15164,59658,1,2086553,54
Michael Davis,3982875,8400409,3/19/2020,60991,"Mountain Village, CO",Bike & Car Accident,04/01/2021,05/24/2021,16475,41954,0,8597454,38
Jared Knight,7618892,9104552,8/27/2020,32570,"Trail, MN",Auto Theft,03/28/2021,06/18/2021,19751,55937,1,9294103,32
Donald Burley,8820023,5715572,10/14/2020,18430,"Valencia West, AZ",Auto Theft,01/12/2021,02/13/2021,10960,58485,0,7707841,47
Joseph Skeesick,1858343,1083287,10/6/2020,19595,"Bonnieville, KY",Multiple Car Accident,12/18/2020,03/20/2021,16314,59626,0,8969970,21
Ruth Heflin,2658495,4573316,5/24/2020,60790,"San Jose, IL",Single Car Accident,05/20/2021,06/25/2021,2394,59706,0,8365168,17
Mildred Allred,8703515,9901290,5/2/2020,85935,"Joppatowne, MD",Single Car Accident,07/14/2020,02/22/2021,10504,33901,0,3315209,26
Dixie Santana,4639668,9976099,6/23/2020,59006,"North Babylon, NY",Hit and Run,01/22/2021,05/17/2021,13124,57612,0,4961386,56
Kermit Skaggs,4294191,3564333,6/23/2020,56299,"Sierraville, CA",Hit and Run,10/30/2020,02/16/2021,12051,8302,0,9431184,36
Marie Gasca,5662708,4902966,3/12/2020,20269,"Ship Bottom, NJ",Hit and Run,06/20/2021,06/27/2021,8825,13670,1,1159605,50
Michael Arnold,5214805,2966603,9/8/2020,53623,"Shenandoah, VA",Bike & Car Accident,12/27/2020,05/27/2021,6528,41372,0,2083630,37
Rita Haney,4682339,6243249,11/13/2020,74018,"Nocona Hills, TX",Single Car Accident,06/27/2021,06/27/2021,8440,53976,0,8512811,20
Roger Zimmerman,7406753,7546586,9/19/2020,33402,"Loami, IL",Single Car Accident,06/11/2021,06/11/2021,11655,20755,0,8356790,62
Kathleen Luna,2711623,6842022,4/23/2020,52794,"Peachtree City, GA",Auto Theft,07/18/2020,07/25/2020,14503,47158,1,9539434,53
Breann Fitch,7971300,1454401,5/9/2020,86802,"Centre, AL",Bike & Car Accident,09/04/2020,03/22/2021,9764,18674,1,4372265,63
Paul Lopez,3519088,7805927,10/12/2020,28025,"Walla Walla, WA",Hit and Run,03/04/2021,04/23/2021,15229,9412,0,2344984,31
Richard Renfrow,8606588,8291310,4/22/2020,23071,"White City, FL",Single Car Accident,06/14/2020,12/24/2020,5898,34149,1,2908900,46
Richard Joseph,6495062,2541315,4/26/2020,92165,"Salem, OH",Multiple Car Accident,07/10/2020,12/16/2020,14001,44892,0,8353679,28
Roxanne Knight,1207477,7368775,6/22/2020,73700,"Greenleaf, WI",Hit and Run,07/04/2020,03/30/2021,17436,52088,0,4127230,37
James Shon,4005868,1653052,5/18/2020,16191,"Schaller, IA",Hit and Run,02/17/2021,06/28/2021,17920,11564,0,3768891,27
James Houston,1685156,1802099,8/3/2020,70170,"Woonsocket, RI",Multiple Car Accident,04/24/2021,06/21/2021,2955,8515,1,8613849,23
Howard Jenny,5562681,5194552,7/17/2020,22748,"Okemah, OK",Multiple Car Accident,06/20/2021,06/24/2021,4589,16148,0,4400451,44
Margaret Cox,8634214,2395214,8/15/2020,11816,"Culver, OR",Single Car Accident,05/24/2021,06/02/2021,13765,15906,0,5812178,36
Edward France,1379484,8817722,4/8/2020,11112,"Point Hope, AK",Hit and Run,05/06/2021,06/06/2021,2655,55766,0,7646320,52
Marjorie Lambert,8720832,9266389,8/9/2020,52790,"Bellport, NY",Bike & Car Accident,10/14/2020,04/19/2021,18639,40317,0,3540887,33
Kenneth Torres,1863911,6428486,5/20/2020,67530,"Hoopers Creek, NC",Multiple Car Accident,09/09/2020,01/05/2021,16250,20483,0,9631044,47
Sylvester Thom,9056224,5154927,7/7/2020,60591,"New Tripoli, PA",Multiple Car Accident,11/29/2020,02/23/2021,3870,43089,1,7594605,39
William Zavala,8652627,2607268,12/1/2020,93059,"Burke, TX",Single Car Accident,05/09/2021,06/13/2021,3563,39319,0,6128540,36
