User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
John Turner,9704786,5571260,7/7/2020,45982,"Greeley Center, NE",Single Car Accident,06/07/2021,06/09/2021,16360,18422,0,6400738,34
Jay Recker,3699018,8963158,8/13/2020,12525,"Kalifornsky, AK",Single Car Accident,06/02/2021,07/05/2021,10089,17574,0,6000338,32
Paul Banuelos,4754152,6394180,2/12/2020,96521,"Winston, OR",Hit and Run,04/14/2020,02/17/2021,5017,14894,1,1035390,37
Leslie Schiel,3466111,6962000,10/27/2020,75160,"Washington Park, IL",Multiple Car Accident,05/27/2021,07/13/2021,7374,14717,0,5799327,44
James Mavai,7553043,2324817,10/5/2020,70366,"Wildwood, FL",Auto Theft,03/22/2021,05/13/2021,12753,39065,1,2697210,19
Michael Marker,5080365,3717397,2/10/2020,63908,"Odessa, TX",Multiple Car Accident,04/28/2021,05/06/2021,7931,6131,1,7953814,26
Meredith Watson,1395949,2962393,8/9/2020,39465,"Patterson Springs, NC",Auto Theft,09/16/2020,02/09/2021,14255,44216,0,2171400,61
David Huston,9801810,3890868,6/19/2020,26375,"Saraland, AL",Hit and Run,01/27/2021,06/28/2021,11189,33159,0,6245934,58
Ronald Wilkerson,2102679,6287425,1/6/2020,53053,"Parsons, KS",Hit and Run,06/21/2021,07/07/2021,12059,18896,1,6648132,49
James Schlipp,9839373,8433170,4/22/2020,76472,"Hickory Flat, MS",Auto Theft,02/14/2021,07/03/2021,9260,6125,0,5794034,38
Katherine Schwartz,4755004,4549975,3/7/2020,17312,"Stokesdale, NC",Bike & Car Accident,06/09/2021,07/05/2021,10747,54642,0,1579324,36
Robby Ikenberry,6984910,2659914,2/5/2020,11528,"Gettysburg, OH",Multiple Car Accident,12/04/2020,04/19/2021,19718,18536,1,5743433,52
Mary Cook,6936582,2706161,7/20/2020,70333,"Bradley, WV",Multiple Car Accident,03/01/2021,06/06/2021,8991,47042,1,5404618,60
Peggy Davis,6271223,8667407,1/15/2020,33373,"Waterville, WA",Bike & Car Accident,01/21/2021,05/24/2021,15145,57224,1,8536518,49
Mary Chase,2635312,7875853,11/16/2020,26396,"Bertha, MN",Single Car Accident,02/12/2021,05/07/2021,11628,31238,0,8806961,45
Pearline Taylor,2381887,1506724,4/21/2020,78487,"Niobrara, NE",Multiple Car Accident,12/09/2020,05/06/2021,5980,29401,1,2195745,28
Theresa Higgenbotham,7368021,4598821,4/1/2020,54833,"Oconto, NE",Multiple Car Accident,06/01/2020,08/28/2020,18899,39023,0,2865214,62
Adriana Johnson,3424929,3776236,11/6/2020,22580,"Freeburg, PA",Bike & Car Accident,05/22/2021,07/03/2021,12315,54438,0,1542713,18
Alice Lashley,9918370,8523010,3/6/2020,62050,"Amory, MS",Auto Theft,06/30/2021,07/14/2021,13947,57728,0,4902332,30
James Gibbs,7619141,9724374,11/26/2020,92422,"Bee Cave, TX",Hit and Run,04/13/2021,06/07/2021,6433,23195,0,2924173,25
Leonard Jones,7779466,1578560,5/28/2020,94886,"Whites Landing, OH",Bike & Car Accident,03/27/2021,06/01/2021,8478,42731,0,3368531,27
Roderick Johnson,4749328,4727497,12/17/2020,68471,"North, SC",Hit and Run,05/20/2021,06/12/2021,13268,27783,1,4730045,52
Dorothy Munoz,8690734,4776212,1/9/2020,26730,"San Bernardino, CA",Hit and Run,05/02/2020,03/09/2021,10228,32736,0,3014332,44
Matthew Pippenger,7514788,8809974,8/19/2020,35865,"Zanesville, OH",Multiple Car Accident,10/28/2020,04/05/2021,8586,19514,0,6900637,17
Joseph Martinez,5577313,6004319,5/4/2020,64336,"Selma, IN",Multiple Car Accident,05/04/2021,06/18/2021,3464,56730,0,1398489,51
Calandra Washburn,4749328,6815044,2/15/2020,67982,"Luling, LA",Single Car Accident,06/12/2020,04/22/2021,10427,28492,1,1339553,55
Rhonda English,1372625,3659916,3/6/2020,91008,"Catawba, OH",Hit and Run,07/02/2021,07/12/2021,2847,14092,0,6685562,40
Ricky Gomez,5281816,1689377,4/11/2020,28066,"Leslie, GA",Bike & Car Accident,02/20/2021,03/25/2021,16091,14439,0,4572652,29
Marshall Suits,8194429,4314294,11/28/2020,66545,"Fairview, AL",Auto Theft,02/27/2021,03/03/2021,15363,55783,0,5230687,42
Gloria Rios,4172071,2783134,12/18/2020,18522,"University Park, MD",Auto Theft,01/26/2021,03/28/2021,14888,18792,0,8920916,22
Marie Humble,7842558,6799951,4/19/2020,43817,"Miller City, OH",Bike & Car Accident,06/03/2020,04/09/2021,11054,26892,0,4168781,54
Raymond Whitenton,3907965,1506724,6/12/2020,77104,"Harrison, OH",Bike & Car Accident,01/12/2021,05/17/2021,8394,12631,1,3207179,60
Steve Engel,5194602,8751337,4/11/2020,61756,"Mount Jackson, VA",Multiple Car Accident,10/20/2020,03/17/2021,3549,23431,0,7083690,63
Marianne Couley,6271223,8667407,8/13/2020,57828,"Lake Ka-Ho, IL",Multiple Car Accident,05/15/2021,07/04/2021,3941,18688,1,2887269,65
Merrill Law,8052063,2706161,2/3/2020,76924,"Hammon, OK",Hit and Run,01/04/2021,04/26/2021,18981,10762,1,4812725,54
Myron Lenart,6393127,2659914,11/25/2020,76622,"Revloc, PA",Multiple Car Accident,05/12/2021,07/15/2021,7177,14317,1,4330315,62
Ismael Witten,5825445,6006489,1/17/2020,12883,"Buena Vista, GA",Multiple Car Accident,12/30/2020,01/28/2021,8392,20785,0,9464206,42
Amy Richardson,4748616,7746027,7/15/2020,72785,"Coulter, IA",Hit and Run,01/05/2021,05/22/2021,14307,25186,0,2814843,62
Kathryn Cerullo,2102679,3364119,2/20/2020,11141,"Chevy Chase Heights, PA",Hit and Run,12/18/2020,03/11/2021,15736,56472,1,4858616,19
Kelly Schmidt,7912356,8881633,9/25/2020,86418,"Berkeley, MO",Single Car Accident,04/01/2021,06/26/2021,7198,11024,0,3683236,60
Marjorie Ansbro,3003294,9137400,5/24/2020,73227,"Essex, IA",Multiple Car Accident,11/20/2020,06/23/2021,2244,38054,0,7597288,31
Michael Richardson,5080365,2191499,11/25/2020,74100,"Florida City, FL",Multiple Car Accident,12/21/2020,07/15/2021,2282,27327,1,8067029,63
Jacqueline Bennett,1320936,2324817,2/21/2020,89147,"Wales, ND",Auto Theft,01/05/2021,07/04/2021,4395,26294,1,3504789,22
Kristi Kinyon,4453792,4999979,9/16/2020,39864,"Estherwood, LA",Multiple Car Accident,10/01/2020,04/11/2021,4204,16865,0,9469929,22
Todd Hansen,5048884,6394180,10/9/2020,75496,"Waukegan, IL",Multiple Car Accident,11/26/2020,05/08/2021,6899,52950,1,1506137,21
Emma Banks,3023679,8409184,6/6/2020,74967,"Kossuth, MS",Single Car Accident,01/31/2021,03/31/2021,3457,35272,0,5137531,30
Dennis Manzo,1505316,7708173,4/23/2020,67199,"La Grange, WY",Auto Theft,07/09/2021,07/14/2021,11814,53301,0,4243604,26
James Dill,4730821,4237545,8/1/2020,27749,"Coalgate, OK",Single Car Accident,12/16/2020,12/25/2020,9083,57925,0,7747296,27
Elisa Stoudenmire,2191285,3416735,6/8/2020,93297,"Pierpont, MO",Auto Theft,07/12/2021,07/12/2021,10569,38757,0,7626269,33
Alex Canas,5657276,4377990,9/16/2020,20979,"Clarksville, VA",Auto Theft,03/31/2021,07/12/2021,3159,23164,0,6933616,56
Marianne Couley,3252010,8667407,8/13/2020,57828,"Lake Ka-Ho, IL",Multiple Car Accident,05/15/2021,07/04/2021,3941,18688,0,1391320,65
Jacqueline Bennett,1320936,2324817,2/21/2020,89147,"Wales, ND",Auto Theft,01/05/2021,07/04/2021,4395,26294,0,8270776,22
Jay Recker,3699018,8963158,8/13/2020,55523,"Spencer, NC",Multiple Car Accident,02/23/2021,03/26/2021,3602,17574,0,9416088,32
