User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Matthew Rubio,5916775,7845715,12/25/2020,25131,"Zalma, MO",Multiple Car Accident,12/29/2020,04/07/2021,3385,9172,0,2762879,47
Ricardo Melton,8788635,7398457,2/26/2020,40901,"Jamestown, TN",Single Car Accident,10/31/2020,12/21/2020,242865,55094,0,1471724,27
Scott Sanchez,9519151,4378593,6/2/2020,95731,"Crescent City, CA",Auto Theft,06/05/2020,08/19/2020,32151,46328,1,2712497,19
Kenneth Roebuck,9860027,4868405,6/19/2020,37159,"Parkman, WY",Multiple Car Accident,06/20/2020,06/14/2021,4297,19177,1,7341283,45
Ashley Santos,5971351,9914817,5/24/2020,51752,"Conway Springs, KS",Hit and Run,05/28/2020,09/15/2020,43328,51885,1,2691600,58
Laura Thompson,8253399,2091539,3/28/2020,15884,"Belle Rose, LA",Auto Theft,03/31/2020,10/26/2020,25911,59239,0,9782160,24
Ira Kallman,1412579,1621174,6/26/2020,37346,"Archdale, NC",Single Car Accident,06/29/2020,05/06/2021,11246,17841,0,7680480,40
Frank Flatt,3678412,3366632,2/18/2020,91318,"Union City, CA",Multiple Car Accident,02/24/2020,06/25/2020,38395,57951,0,4424011,51
Rachel Garris,7490415,4516088,8/3/2020,34039,"La Porte City, IA",Single Car Accident,08/09/2020,10/22/2020,10488,16203,0,2143912,29
James Jeffords,7357803,6402032,2/27/2020,85582,"Isleton, CA",Multiple Car Accident,03/02/2020,08/23/2020,20548,29208,0,6337777,35
Robert Westbrooks,9655590,1206160,5/25/2020,82757,"Livingston, MT",Bike & Car Accident,05/28/2020,11/24/2020,10554,27870,1,4449430,24
William Ross,2345269,7388753,11/25/2020,52914,"Monongahela, PA",Bike & Car Accident,11/30/2020,01/20/2021,19240,53228,1,2401904,31
Joyce Waters,5347566,8191493,8/23/2020,97958,"Portsmouth, NH",Hit and Run,08/25/2020,01/29/2021,39603,41983,0,5683182,37
Sue Stratton,3192419,8235971,5/25/2020,49313,"Chums Corner, MI",Multiple Car Accident,05/31/2020,07/06/2020,19210,33557,0,1356639,45
Don Pack,8029774,9664520,11/1/2020,18851,"West Palm Beach, FL",Bike & Car Accident,11/02/2020,05/02/2021,54090,59959,1,8887052,22
Renee Artis,7897623,5216167,2/7/2020,21227,"Centertown, MO",Multiple Car Accident,02/07/2020,08/13/2020,12546,36965,1,5784106,44
Angela Haynes,6086349,6313039,4/11/2020,27367,"Middleburg, PA",Single Car Accident,04/15/2020,06/08/2020,24764,31145,0,7214328,24
