User Name,1392811,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Debbie Holmes,9790530,2777598,11/4/2020,27229,"Hopkinsville, KY",Bike & Car Accident,02/08/2021,05/17/2021,9145,31184,0,5083342,38
Dale Burns,1336965,9466954,2/6/2020,74177,"Summertown, TN",Hit and Run,05/31/2020,11/11/2020,14861,14572,1,1584083,40
Patricia Chan,3853209,6149338,9/10/2020,93047,"Summit, OK",Auto Theft,03/27/2021,04/12/2021,12722,43870,0,6273165,23
Teresa Whetzel,4260990,4708357,8/1/2020,57768,"Vici, OK",Auto Theft,09/03/2020,09/28/2020,5367,33187,0,9253916,54
Emmanuel Treffert,1547278,4681004,1/22/2020,79245,"Fowler, KS",Single Car Accident,06/14/2020,09/20/2020,8111,5729,0,3481894,60
Antonio Brown,1000206,3486293,8/13/2020,88139,"University Park, IA",Multiple Car Accident,04/21/2021,05/11/2021,11568,41224,0,4658701,27
Gladys Paniagua,8601989,3929207,11/19/2020,37925,"Folkston, GA",Single Car Accident,04/28/2021,05/26/2021,18510,49929,1,9643879,28
Judy Kluesner,3148266,2241499,7/3/2020,31429,"Keachi, LA",Bike & Car Accident,07/03/2020,01/22/2021,19262,50833,0,8970394,65
Teresa Nooe,6378395,8865108,1/16/2020,81613,"Bridgeville, PA",Hit and Run,07/05/2020,01/20/2021,12858,36265,1,7663430,34
Lori Brown,3850971,4257908,8/19/2020,42321,"Lafe, AR",Auto Theft,10/05/2020,04/30/2021,19503,50282,0,4373772,53
Betty Mccrea,9967803,3283509,1/11/2020,33911,"Reed Point, MT",Single Car Accident,02/20/2020,11/03/2020,11106,14391,0,7349514,49
James Marquez,7496847,6823249,8/8/2020,72106,"Sandy Springs, GA",Single Car Accident,01/15/2021,04/22/2021,12103,58826,1,5465472,29
Howard Thompson,7750715,5191351,10/28/2020,92250,"American Falls, ID",Bike & Car Accident,03/13/2021,06/18/2021,8942,47575,1,2992226,35
Laura Hardin,9103956,4531505,2/23/2020,13289,"New Haven, MO",Single Car Accident,02/24/2020,03/23/2020,15476,54345,0,7611807,60
David Kaywood,8365758,6801415,3/12/2020,57064,"Boligee, AL",Single Car Accident,11/24/2020,03/18/2021,14613,20141,1,4787857,64
Matthew Galvez,6769963,4434190,3/26/2020,48972,"Detroit Lakes, MN",Bike & Car Accident,09/18/2020,10/24/2020,15249,35088,0,8715734,55
Phyllis Froedge,4767742,5340358,12/9/2020,67359,"Myton, UT",Bike & Car Accident,01/27/2021,02/23/2021,2143,32441,0,7672314,20
Ronald Kelly,8670988,2802072,10/10/2020,77752,"Bee Cave, TX",Auto Theft,04/25/2021,07/05/2021,19509,40699,0,9136504,54
Earnest Holcomb,6526755,2254097,11/5/2020,55027,"Schlater, MS",Auto Theft,07/04/2021,07/04/2021,8545,35386,1,5457122,44
Tameka Cassiano,9144956,6269541,8/22/2020,23233,"Cerritos, CA",Bike & Car Accident,12/22/2020,04/04/2021,12302,45204,0,6972308,46
Carol Fugate,5252552,2112714,4/7/2020,44215,"Greenhills, OH",Single Car Accident,03/01/2021,05/19/2021,17317,20486,0,1626874,45
Rosario Ruiz,3046886,7492611,6/21/2020,64514,"Longstreet, LA",Multiple Car Accident,02/23/2021,06/12/2021,10499,46239,1,5823564,20
Joseph Cassem,7659576,3780357,1/6/2020,95409,"Keystone, WV",Hit and Run,05/09/2020,02/11/2021,13297,13677,0,4783039,16
Irwin Anderson,3179958,5906184,6/11/2020,50112,"Eagle, WI",Bike & Car Accident,07/02/2021,07/04/2021,2900,20211,0,9152315,36
George Collins,5222693,3395207,2/25/2020,88542,"Toccoa, GA",Hit and Run,05/30/2021,05/31/2021,3960,11285,0,1190751,36
Ignacio Freund,3046886,5139432,8/12/2020,20595,"Las Quintas Fronterizas, TX",Auto Theft,03/30/2021,06/11/2021,12727,24546,1,7205175,63
Joan Kittleson,8069411,2909888,10/2/2020,97078,"Hilldale, PA",Multiple Car Accident,12/11/2020,01/11/2021,11924,19724,0,1876170,49
Teresa Mendoza,8443391,4779660,5/10/2020,73239,"Carlton, MT",Single Car Accident,07/23/2020,01/14/2021,19815,39791,0,1588746,44
John Sandling,3003243,2254097,9/3/2020,35851,"Kirk, CO",Single Car Accident,04/13/2021,06/15/2021,18473,32003,1,4215464,43
Vivian White,5389154,4092832,1/6/2020,13072,"Summerfield, KS",Multiple Car Accident,12/05/2020,03/05/2021,10067,7479,0,6004345,56
Martha Miller,6702697,4217124,6/18/2020,11821,"McFarland, WI",Hit and Run,07/05/2020,09/23/2020,11104,10585,0,5628275,58
Edmund Williams,5949885,8926613,10/17/2020,64575,"Milner, GA",Hit and Run,05/30/2021,06/06/2021,9376,15191,0,2994989,33
Roberta Cunningham,8365758,3681997,4/27/2020,90372,"Sierra View, PA",Auto Theft,10/09/2020,12/17/2020,19612,39093,1,4604983,30
Cynthia Smothers,3988103,1622664,2/10/2020,48942,"New Bern, NC",Auto Theft,02/08/2021,04/05/2021,15139,21333,0,1889936,20
Max Bear,3247623,5191351,4/9/2020,23151,"Smithfield, OH",Auto Theft,02/03/2021,02/24/2021,17984,35246,1,7527467,36
Kenneth Hunt,5364156,6823249,10/1/2020,43425,"Lexington, AL",Hit and Run,03/23/2021,04/25/2021,9619,21552,1,8121715,42
Patricia Murphy,1257667,2274993,5/26/2020,52969,"La Plata, MO",Multiple Car Accident,12/22/2020,01/11/2021,17311,51377,0,1341120,45
Ryan Timothy,4567094,2184926,5/12/2020,83502,"Sorrel, LA",Bike & Car Accident,06/18/2021,07/03/2021,12054,12063,0,5624643,33
Susan Roberts,6378395,1285608,10/24/2020,60380,"Lake Panorama, IA",Hit and Run,05/08/2021,06/14/2021,3642,26749,1,4693717,28
Gregory Hinkel,7226388,9639524,6/25/2020,67725,"Pakala Village, HI",Hit and Run,10/23/2020,01/02/2021,19580,35925,0,2283336,63
Misty Taylor,8601989,6408695,7/9/2020,89879,"Grayson, OK",Auto Theft,12/05/2020,12/11/2020,9131,46016,1,8834155,24
Jennifer Johnson,3671933,9643054,4/15/2020,40525,"Daggett, MI",Single Car Accident,07/20/2020,08/15/2020,16228,28401,0,6648297,38
Helen Berry,9098821,8570168,6/27/2020,44370,"Mansfield Center, CT",Hit and Run,07/17/2020,12/08/2020,15260,25911,0,2946730,33
Arleen Russell,8865663,8206059,12/27/2020,82705,"Brackenridge, PA",Auto Theft,06/03/2021,06/18/2021,17191,39263,0,8602577,16
Rosalyn Garelik,6131303,2774083,10/3/2020,18630,"Hazelton, ID",Auto Theft,01/21/2021,06/17/2021,5597,15567,0,1255242,45
Lynne Ramirez,1336965,9466954,4/25/2020,35004,"Roseburg North, OR",Single Car Accident,12/09/2020,01/27/2021,2692,8253,1,6889489,32
David Joiner,9373543,2062426,3/6/2020,19425,"Vale, OR",Hit and Run,07/31/2020,08/23/2020,16351,52848,0,4449776,65
John Litten,1392811,9541805,4/8/2020,27029,"Weston, CO",Bike & Car Accident,08/02/2020,03/13/2021,8079,14585,1,2852615,59
Tim Melendez,7399483,7565880,10/27/2020,94110,"Royersford, PA",Hit and Run,06/04/2021,06/20/2021,5881,38389,0,2082484,57
Jake Parton,6955845,3391220,1/26/2020,18239,"La Vale, MD",Single Car Accident,05/06/2020,06/02/2021,5675,56879,0,4884462,62
Rosario Ruiz,3046886,7492611,6/21/2020,64514,"Longstreet, LA",Multiple Car Accident,02/23/2021,06/12/2021,10499,46239,0,2235197,20
Patricia Murphy,1257667,2274993,5/26/2020,52969,"La Plata, MO",Multiple Car Accident,12/22/2020,01/11/2021,17311,51377,0,8096848,45
