User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Devin Usher,1761546,6287699,1/8/2020,32349,"Patrick Springs, VA",Hit and Run,07/25/2020,10/04/2020,8254,29555,0,7388517,41
Joan Whitford,2744092,5344962,6/5/2020,35486,"Marana, AZ",Bike & Car Accident,06/28/2021,08/21/2021,5787,13984,0,1776284,43
Rodolfo Weiner,7631640,4824493,4/2/2020,77844,"Gravois Mills, MO",Bike & Car Accident,08/09/2021,11/05/2021,2035,52609,1,3229490,58
Lisa Muise,6725005,3788186,2/23/2020,16803,"Wilson-Conococheague, MD",Auto Theft,03/19/2020,08/06/2021,8612,46681,0,3787265,65
James Jackson,6760498,7348539,4/27/2020,17937,"Templeville, MD",Bike & Car Accident,07/31/2020,10/01/2021,16111,43752,0,3105759,44
Jennifer Payan,5487894,5790622,2/28/2020,96994,"Sharon, MS",Auto Theft,09/24/2021,10/02/2021,3191,19737,1,5014788,60
Kristy Beasley,7014139,6295643,6/7/2020,19470,"Hulett, WY",Multiple Car Accident,10/22/2020,12/09/2020,5542,35959,1,6572742,58
Gina Gerber,4747463,6822839,6/16/2020,53186,"Sweet Springs, MO",Single Car Accident,04/15/2021,11/05/2021,9961,23439,0,5045288,38
Yvonne Campbell,1138097,6261125,10/13/2020,46263,"Hoodsport, WA",Single Car Accident,09/29/2021,10/14/2021,13306,15727,0,4303663,64
Brian Skeeter,1202055,1998951,7/12/2020,65201,"Lanai City, HI",Bike & Car Accident,07/24/2021,11/23/2021,3017,30040,0,2891851,19
Natalie Newman,1511781,6129366,3/27/2020,81759,"Schuylerville, NY",Auto Theft,05/12/2020,09/12/2021,19304,58410,0,8500334,24
Kathleen Lockwood,6621659,8523933,4/18/2020,32581,"Powdersville, SC",Auto Theft,11/19/2021,11/26/2021,13454,15893,1,9100285,31
Princess Voigt,7102621,6563070,12/11/2020,18083,"Olney Springs, CO",Auto Theft,12/27/2020,07/20/2021,4480,33201,0,1513751,33
Virginia Brelsford,5875005,9875183,6/8/2020,58992,"Aspinwall, PA",Auto Theft,10/12/2020,01/05/2021,17277,51693,1,1025340,44
Dana Thompson,8784983,8271476,12/5/2020,78972,"San Bernardino, CA",Auto Theft,09/26/2021,10/17/2021,12991,58192,1,2874456,24
David Wall,5503495,1610200,7/23/2020,17311,"Ninety Six, SC",Hit and Run,09/08/2020,05/14/2021,13638,58406,0,4842508,34
Sean Henry,2423176,7716094,1/26/2020,69982,"Zapata, TX",Hit and Run,02/09/2020,04/03/2021,13279,13539,1,4137624,19
Corey Lewis,5872331,8490267,2/14/2020,15660,"Wainiha, HI",Hit and Run,07/25/2021,11/25/2021,8735,22197,1,5735920,58
Evelyn Dove,3282906,2892315,1/18/2020,48126,"Mountain Home, AR",Multiple Car Accident,02/26/2021,06/14/2021,10457,43945,0,5456895,39
Jimmy Jefferson,1733166,2390105,9/21/2020,19248,"Wildwood, NJ",Bike & Car Accident,03/19/2021,10/23/2021,5044,41921,0,4094083,58
Travis Tighe,8915612,9299346,7/2/2020,48299,"Larkfield-Wikiup, CA",Multiple Car Accident,10/29/2020,11/25/2021,18345,15551,0,4101909,37
John Gutierrez,1550103,7108260,9/3/2020,34561,"Porters Neck, NC",Bike & Car Accident,11/06/2021,11/13/2021,6674,33418,0,7680622,24
Terrance Coltrain,6398764,3817774,11/7/2020,67023,"Glenwood, AL",Single Car Accident,03/17/2021,05/12/2021,7058,38615,1,7566531,17
Anne Sanford,4972152,4798314,8/25/2020,69736,"Oak Hill, WV",Single Car Accident,07/06/2021,07/23/2021,16299,57173,0,4075172,44
Angelina Davis,7719928,3817774,1/3/2020,59413,"New Hebron, MS",Auto Theft,02/27/2021,04/13/2021,8217,54980,1,1785488,64
Dennis Mariscal,8183761,2017421,1/11/2020,13628,"Harbour Heights, FL",Bike & Car Accident,01/14/2020,04/05/2020,10380,30287,0,8894654,32
Troy Quarles,7131264,5540667,2/13/2020,96977,"Kimballton, IA",Single Car Accident,03/12/2020,06/30/2020,17249,8547,0,2921975,31
Fred Ulrich,4144236,8655260,4/1/2020,49329,"Haskell, TX",Single Car Accident,03/05/2021,05/31/2021,19517,36267,0,8727368,60
Howard Baker,1882822,5910799,4/20/2020,17228,"Eunice, LA",Multiple Car Accident,02/01/2021,10/01/2021,10589,44525,0,9109363,31
Roland Phan,5872331,9239956,9/23/2020,86603,"Covington, OK",Hit and Run,01/29/2021,11/03/2021,11950,24777,1,6297916,55
Carly Rice,4053958,7716094,2/2/2020,77413,"Unionville, PA",Hit and Run,04/30/2021,05/02/2021,2429,46185,1,9369143,44
Erin Hill,5605986,4734772,1/8/2020,65281,"Minden, NV",Multiple Car Accident,11/27/2020,09/04/2021,19746,23273,0,7386174,63
Kristina Henry,8784983,8271476,7/24/2020,91354,"Gayle Mill, SC",Single Car Accident,06/25/2021,09/30/2021,14774,24842,1,8780315,33
Kevin Schramm,5875005,4126862,12/27/2020,89083,"Hepzibah, WV",Bike & Car Accident,05/06/2021,05/25/2021,8456,12905,1,1528390,57
Darrin Fields,6345450,2753155,4/19/2020,28605,"Happy Camp, CA",Multiple Car Accident,06/25/2020,07/14/2020,18275,32964,0,6734340,54
Andrew Watson,6621659,4444847,4/6/2020,20378,"Natural Steps, AR",Auto Theft,10/08/2020,04/23/2021,7924,12074,1,5898635,65
Susan Schenck,1010674,5995279,6/9/2020,58098,"Mountain View Acres, CA",Auto Theft,12/10/2020,10/18/2021,10549,14464,0,7259188,65
Robert Mckenney,2083085,5720148,7/25/2020,54650,"Indian Head Park, IL",Bike & Car Accident,10/07/2021,10/30/2021,7866,50827,0,3051550,38
Diana Simmons,9335489,4870673,8/1/2020,96168,"Brinnon, WA",Multiple Car Accident,03/19/2021,07/03/2021,17237,36914,0,1020939,28
Claire Morse,3572719,5413555,6/28/2020,89776,"Osterdock, IA",Auto Theft,10/24/2020,11/21/2020,11495,52161,0,3620022,31
James Kaplan,7587482,6295643,12/6/2020,86968,"Alexandria, PA",Single Car Accident,05/17/2021,07/09/2021,15558,23825,1,7857841,45
Ed Gloden,5636676,5790622,6/12/2020,36467,"Winthrop, MA",Single Car Accident,10/29/2020,05/19/2021,17101,53153,1,9915596,52
Lenora Stuer,8339148,2727773,12/24/2020,10265,"Monticello, WI",Single Car Accident,07/07/2021,08/27/2021,13063,33576,0,3711786,29
Roberta Dotson,5543928,1222327,2/22/2020,88252,"Chase, KS",Auto Theft,07/17/2021,09/26/2021,13385,46614,0,6708064,60
Frances Puig,7631640,4824493,1/8/2020,63728,"Wauseon, OH",Single Car Accident,09/24/2020,08/16/2021,10054,45103,1,4925969,57
Gertrude Soders,6784348,5375714,9/7/2020,91846,"Preston, MD",Hit and Run,09/26/2020,08/30/2021,3316,59292,0,7617578,27
Vivian Ward,8830089,2333411,12/25/2020,22102,"Knoxville, IL",Auto Theft,03/04/2021,03/18/2021,11519,32694,0,1364318,47
Susan Combs,7181494,6190582,7/8/2020,67439,"Rockwood, TN",Hit and Run,06/02/2021,11/02/2021,16840,29286,0,5047397,30
Amy Monday,7601869,6728154,4/2/2020,16366,"Argos, IN",Single Car Accident,02/28/2021,03/29/2021,6079,51092,0,4483165,21
Helen Victorero,7965067,4440964,11/22/2020,95431,"Orick, CA",Multiple Car Accident,09/05/2021,10/01/2021,6260,39285,0,2901691,48
Brian Skeeter,1202055,1998951,7/12/2020,65201,"Lanai City, HI",Bike & Car Accident,07/24/2021,11/23/2021,3017,30040,0,3264946,19
Lenora Stuer,8339148,2727773,12/24/2020,10265,"Monticello, WI",Single Car Accident,07/07/2021,08/27/2021,13063,33576,0,7143692,29
Gina Gerber,4747463,6822839,6/16/2020,73704,"Attica, MI",Hit and Run,01/08/2021,06/17/2021,5285,23439,0,4413260,38
Brian Skeeter,1202055,1998951,7/12/2020,67974,"Manistee, MI",Bike & Car Accident,02/04/2021,06/04/2021,14452,30040,0,1158971,19
Virginia Brelsford,5875005,9875183,6/8/2020,29956,"Como, MS",Hit and Run,04/29/2021,05/14/2021,10255,51693,0,9559942,44
Sean Henry,2423176,6656920,1/26/2020,93799,"Clayton, IL",Auto Theft,09/29/2021,11/19/2021,15669,13539,0,3408558,19
Corey Lewis,2198658,8490267,2/14/2020,52528,"Clark, PA",Hit and Run,09/11/2021,10/29/2021,12189,22197,0,3826398,58
Evelyn Dove,3282906,2892315,1/18/2020,12884,"Gonzales, CA",Bike & Car Accident,06/07/2021,08/29/2021,16342,43945,0,6442287,39
Roland Phan,5872331,9239956,9/23/2020,71348,"Pearl River, MS",Hit and Run,12/16/2020,10/16/2021,18244,24777,0,2021899,55
Kristina Henry,7293737,3083741,7/24/2020,80957,"Burns Flat, OK",Single Car Accident,03/20/2021,04/24/2021,19671,24842,0,1208045,33
Darrin Fields,6345450,2753155,4/19/2020,30236,"Heron Bay, GA",Hit and Run,11/06/2021,11/21/2021,10887,32964,0,3916949,54
Andrew Watson,6621659,4444847,4/6/2020,63355,"South Valley Stream, NY",Auto Theft,10/05/2021,11/06/2021,10006,12074,0,6578362,65
Robert Mckenney,2083085,5720148,7/25/2020,39359,"Vancleave, MS",Auto Theft,02/05/2021,06/02/2021,4790,50827,0,4740423,38
Ed Gloden,5636676,5790622,6/12/2020,88190,"Benton, PA",Auto Theft,04/12/2021,04/23/2021,5570,53153,0,1459962,52
Gertrude Soders,6784348,5375714,9/7/2020,60343,"Dixon, IL",Auto Theft,12/04/2020,04/16/2021,17013,59292,0,9673471,27
Jennifer Payan,5487894,9877359,2/28/2020,79800,"Altheimer, AR",Bike & Car Accident,10/29/2021,10/29/2021,16371,19737,0,2823859,60
Gina Gerber,4747463,6822839,6/16/2020,41855,"Brownsville, TN",Multiple Car Accident,12/22/2020,11/11/2021,8390,23439,0,8142142,38
Corey Lewis,2198658,8490267,2/14/2020,40738,"Rose Bud, AR",Multiple Car Accident,08/18/2021,10/22/2021,13926,22197,0,2713209,58
Evelyn Dove,3282906,2892315,1/18/2020,29018,"Princeton, WI",Multiple Car Accident,05/03/2021,09/13/2021,5260,43945,0,2663484,39
Jimmy Jefferson,1733166,2390105,9/21/2020,39559,"Sadieville, KY",Bike & Car Accident,06/12/2021,09/29/2021,11106,41921,0,5527274,58
Dennis Mariscal,8183761,2017421,1/11/2020,33065,"Apache Creek, NM",Hit and Run,10/22/2021,11/22/2021,17351,30287,0,2304994,32
Frances Puig,8830662,4824493,1/8/2020,48573,"Citrus Park, FL",Hit and Run,03/20/2021,11/28/2021,15843,45103,0,4170933,57
Princess Voigt,7102621,6563070,12/11/2020,19791,"Eagle Nest, NM",Auto Theft,03/30/2021,05/11/2021,2548,33201,0,4683312,33
Angelina Davis,7719928,7006328,1/3/2020,91585,"Hoopeston, IL",Multiple Car Accident,11/25/2020,11/11/2021,18510,54980,0,9803109,64
Kevin Schramm,5897827,4126862,12/27/2020,28613,"Westlake, TX",Bike & Car Accident,01/29/2021,02/26/2021,6710,12905,0,6731823,57
Ed Gloden,5636676,5790622,6/12/2020,32086,"Parrott, GA",Hit and Run,06/28/2021,11/07/2021,15338,53153,0,7847764,52
