User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Barbara Adams,7928078,1027759,11/3/2020,40963,"Clarkedale, AR",Bike & Car Accident,10/08/2021,10/20/2021,14339,5177,1,1727766,45
Craig Crane,2421769,5980210,1/18/2020,23744,"Hanover, MN",Auto Theft,01/10/2021,03/14/2021,10563,9926,0,4293400,64
Mario Reid,5020472,4095658,5/5/2020,86178,"Bettendorf, IA",Auto Theft,08/25/2020,06/12/2021,7943,54061,0,7203537,57
Frances Blocker,7695368,1560210,8/27/2020,64088,"Dellroy, OH",Single Car Accident,04/30/2021,11/18/2021,12720,11098,1,9161423,36
John Vines,1792662,7654977,3/18/2020,65027,"Jacob City, FL",Auto Theft,06/13/2020,07/27/2021,14209,55855,1,1618516,58
Mark Gardener,5976415,8858031,7/12/2020,39551,"Quail Ridge, FL",Bike & Car Accident,08/06/2020,03/31/2021,10426,38556,0,6142329,18
Tanya Hatton,1956506,8934653,2/22/2020,19347,"Rio Verde, AZ",Bike & Car Accident,04/16/2021,07/01/2021,13438,49541,0,6876013,17
Timothy Faria,7075338,8523160,1/14/2020,69226,"Magnolia, NJ",Multiple Car Accident,07/31/2020,11/29/2020,5211,14666,0,9049608,51
Angela Lyons,3331972,8855780,2/8/2020,65912,"Wakarusa, KS",Multiple Car Accident,03/12/2021,11/05/2021,16061,13625,0,9584950,58
Maurice Plaza,6900254,3400900,6/17/2020,27299,"Cienega Springs, AZ",Auto Theft,02/19/2021,08/10/2021,19415,35840,0,6302577,63
Elizabeth Gary,4229935,8901644,11/9/2020,15482,"Mint Hill, NC",Multiple Car Accident,07/20/2021,11/07/2021,3500,42544,1,8684778,58
Wendy Martin,2795478,3373195,1/18/2020,36516,"West Pittston, PA",Single Car Accident,08/16/2021,09/18/2021,9318,12985,0,9253174,46
Evelyn Troupe,4669899,7003378,11/28/2020,79949,"Healy, KS",Multiple Car Accident,09/25/2021,09/27/2021,18976,46497,0,5142211,54
George Keys,6850437,5351414,5/27/2020,37818,"Hampton Manor, NY",Multiple Car Accident,09/13/2020,07/05/2021,5924,22383,1,2695564,30
Martha Burns,6822585,7362780,10/21/2020,48409,"Castana, IA",Hit and Run,03/23/2021,03/29/2021,15071,30410,0,4721114,19
Estelle Avalos,7968692,2910263,1/27/2020,46436,"Malden, MO",Bike & Car Accident,07/29/2020,01/10/2021,14462,54524,0,3174690,53
