User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Randy Bear,4600170,4668916,12/6/2020,69541,"Schenectady, NY",Multiple Car Accident,12/10/2020,12/15/2020,13232,50873,0,6041005,54
Linda Mustard,3652165,3632778,8/5/2020,42885,"Decatur, IN",Multiple Car Accident,08/06/2020,11/17/2020,13244,19191,0,8157900,40
Duane Chaffin,9274112,1615118,3/8/2020,50403,"Merrifield, MN",Auto Theft,03/10/2020,12/16/2020,12331,16972,0,6537554,60
Melanie Mccarthy,3191198,5497936,2/11/2020,48473,"Laurens, SC",Hit and Run,02/14/2020,06/18/2020,18226,26435,0,4853927,23
George Opie,8438640,4507217,8/24/2020,29523,"Broadway, NJ",Auto Theft,08/24/2020,01/25/2021,3947,17090,1,2094249,38
Theresa Ellison,8344143,7727362,6/25/2020,48186,"Minocqua, WI",Single Car Accident,06/27/2020,03/09/2021,3043,15090,0,4197926,63
Johnny Pena,8601585,5793981,6/2/2020,43354,"Carbondale, KS",Hit and Run,06/07/2020,11/21/2020,24318,38027,0,4690674,57
Cynthia Lindquist,1376575,7779743,12/3/2020,61699,"Marengo, OH",Auto Theft,12/05/2020,02/26/2021,7196,8802,1,6405349,44
Courtney Briggs,7031402,4296004,12/17/2020,58590,"Charleston Park, FL",Multiple Car Accident,12/22/2020,01/29/2021,3404,6908,0,4206048,54
Glenda Castanon,7575604,2427734,6/4/2020,20161,"Beaver, AR",Hit and Run,06/08/2020,06/13/2021,29228,42614,0,1535112,59
Kevin Krogstad,3274609,1445460,4/23/2020,44659,"Barney, ND",Hit and Run,04/27/2020,07/21/2020,40448,51817,1,3960060,62
Dale Jones,3554330,5015099,6/22/2020,65947,"Germantown Hills, IL",Hit and Run,06/25/2020,10/20/2020,22619,24871,1,3345581,26
Lynn Lopez,3071405,9001975,5/15/2020,16910,"Denton, NE",Auto Theft,05/21/2020,07/03/2021,45534,51560,0,8114308,62
Monica Thomas,9216583,6083874,5/17/2020,29041,"Bethalto, IL",Single Car Accident,05/21/2020,04/27/2021,10989,21108,0,9066615,29
Patrick Hensley,9194033,2559628,10/27/2020,48872,"Guadalupe, CA",Single Car Accident,10/31/2020,01/19/2021,38710,44664,0,4285976,50
Samuel English,7121118,7969168,12/18/2020,24027,"Chain Lake, WA",Multiple Car Accident,12/20/2020,12/22/2020,16185,18121,1,4432743,57
Ruth Tomaszewski,1500722,7201373,5/6/2020,12529,"Newport, RI",Hit and Run,05/09/2020,07/11/2021,8195,8402,1,8980667,49
Cassandra Hutchins,1946138,8318641,8/10/2020,43170,"Tidioute, PA",Auto Theft,08/12/2020,12/26/2020,14772,19240,1,8997824,32
Felicia Montoya,1869550,4621416,1/11/2020,36845,"Gideon, OK",Single Car Accident,01/15/2020,08/30/2020,11883,32568,0,3258915,60
