User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Ruby Schmelzer,1963614,8348710,10/18/2020,38657,"Mercer, WI",Multiple Car Accident,04/25/2021,11/25/2021,19253,19270,0,2683736,47
Jose Conzemius,1252209,7325603,4/18/2020,81594,"McDonald, KS",Multiple Car Accident,11/22/2021,11/23/2021,12984,41441,0,8069725,58
Amber Felix,2649012,4059494,7/10/2020,38687,"Hellertown, PA",Single Car Accident,08/27/2020,08/04/2021,13641,37771,0,9011615,65
Theresa Watts,9357743,3665597,8/21/2020,30949,"El Monte, CA",Auto Theft,11/22/2020,12/12/2020,8955,22372,1,2749357,41
Alfred Allen,2836868,5373941,2/8/2020,29868,"Jamesport, NY",Hit and Run,05/12/2021,10/25/2021,14736,22455,0,2806734,62
Robert Thomas,8394951,1921193,11/21/2020,19922,"Harrisburg, NC",Single Car Accident,04/12/2021,09/11/2021,15902,9425,1,3831961,65
Lupe Louthan,6902534,2924350,2/28/2020,80254,"Red Wing, MN",Multiple Car Accident,10/06/2021,10/28/2021,12891,55107,1,4711913,55
Irvin Benedetti,3995862,6313742,9/12/2020,76024,"Oak, NE",Single Car Accident,05/31/2021,08/01/2021,9027,9751,1,8195323,50
Danny Lopez,6531102,1813496,12/8/2020,10515,"Kings Point, NY",Single Car Accident,09/24/2021,11/02/2021,4188,19860,1,7761458,58
John Durisseau,4842883,6107242,4/4/2020,95859,"Cape Coral, FL",Hit and Run,08/21/2021,11/24/2021,11880,46412,0,7001181,56
Mariano Whitten,3306110,2090105,4/28/2020,81552,"Redwood City, CA",Hit and Run,10/08/2021,11/05/2021,9233,47582,1,5271077,60
Lakeisha Hauck,3631575,3704828,5/1/2020,52378,"Loami, IL",Multiple Car Accident,01/27/2021,11/19/2021,19928,35135,1,9412765,16
Brittany Matus,1599262,9472168,5/1/2020,48007,"Ty Ty, GA",Hit and Run,05/09/2021,10/08/2021,11425,56674,1,1641154,29
Clara Boone,6013963,8123729,1/19/2020,72961,"West Hamlin, WV",Bike & Car Accident,11/03/2020,11/18/2020,15339,47555,1,4198641,48
Scott Seneca,3561695,4961316,5/12/2020,76609,"Geraldine, AL",Auto Theft,11/19/2020,04/16/2021,7138,57809,0,8544339,57
Ernest Bradley,8504918,6157721,3/23/2020,82494,"Floral Park, NY",Hit and Run,05/20/2021,11/11/2021,13531,19696,0,3069365,31
Darren Rodriguez,6113492,4860686,3/7/2020,63576,"Saranap, CA",Bike & Car Accident,04/20/2020,09/14/2021,8997,55598,0,4885221,59
Faye Carr,8131412,2042066,10/9/2020,36758,"Brentwood, CA",Single Car Accident,01/01/2021,02/17/2021,12452,17289,0,7227861,26
Christopher Neal,3376199,5965248,7/4/2020,20594,"Wintersville, OH",Hit and Run,09/06/2021,10/28/2021,18038,15065,0,2381954,62
