User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Anthony Jackson,6022224,5701933,12/20/2020,16981,"Burlington, MI",Single Car Accident,09/08/2021,11/21/2021,13522,38557,1,3712165,56
Brandon Hungate,8678014,7060304,8/27/2020,36552,"Makaha, HI",Single Car Accident,09/02/2020,07/07/2021,4781,44504,1,5768379,61
Jeffrey Walke,8698357,8316449,5/5/2020,10791,"Loda, IL",Multiple Car Accident,06/03/2020,10/18/2020,10767,10079,0,1903136,40
Patrick Jones,5248825,9150202,6/16/2020,70276,"Kearney, MO",Single Car Accident,10/25/2020,11/28/2021,13262,51888,1,9766191,28
Melvin Mosley,5921043,6071194,5/1/2020,33437,"Ruthton, MN",Bike & Car Accident,09/06/2020,06/18/2021,8296,46866,0,8295215,38
Virginia Fuller,4233816,5951357,5/10/2020,13392,"Berkeley, IL",Multiple Car Accident,05/03/2021,06/19/2021,9948,36463,0,2850884,41
Ronald Swindle,3952939,2013886,8/1/2020,67419,"Dixon, NE",Auto Theft,05/19/2021,07/09/2021,12845,24729,1,3400037,30
Darla Gallagher,5729603,8721813,11/24/2020,84562,"Enumclaw, WA",Bike & Car Accident,12/27/2020,10/20/2021,14568,10151,1,9892257,62
David Carpenter,5687323,1281554,3/1/2020,70730,"Stockertown, PA",Single Car Accident,10/24/2020,01/31/2021,11772,43824,0,3000611,32
Sally Marmolejo,7632365,7147600,7/8/2020,99138,"Black Mountain, NC",Hit and Run,03/17/2021,04/04/2021,5407,17711,1,4851427,22
Dustin Owston,3641340,3392444,3/25/2020,62354,"Gwinner, ND",Auto Theft,12/15/2020,04/12/2021,3889,10589,0,9346404,20
Jared Marshall,4026609,2083034,1/5/2020,44219,"Kennard, IN",Single Car Accident,11/15/2021,11/17/2021,15258,29579,0,6625086,17
George Lesky,9136153,1855705,2/19/2020,24042,"Breda, IA",Single Car Accident,04/06/2020,06/22/2021,18559,47972,0,1819420,56
Lawrence Williams,8075448,4807488,8/3/2020,24676,"Highland, MD",Bike & Car Accident,03/11/2021,08/02/2021,3672,15581,1,8793005,55
Rogelio Roberts,6739077,8330486,9/14/2020,15245,"Flemington, WV",Auto Theft,06/07/2021,06/27/2021,18280,58884,0,6004036,53
Kevin Macmillan,2461397,2087105,9/9/2020,72553,"White Plains, AL",Multiple Car Accident,11/16/2020,11/29/2020,15226,21768,0,4300193,39
Agnes Booker,1952687,2751472,8/13/2020,19087,"Franquez, PR",Bike & Car Accident,09/17/2021,11/05/2021,2078,55749,0,6986957,61
Michael Darling,7211288,7165037,7/21/2020,64165,"Raleigh, FL",Single Car Accident,02/09/2021,09/26/2021,10003,21892,1,3984660,45
Kenneth Rodgers,1087748,7574219,4/7/2020,71527,"Eagles Mere, PA",Single Car Accident,06/07/2020,08/16/2021,12796,26698,1,3399674,29
Rebecca Mckinney,4350996,9546103,7/23/2020,51119,"Algodones, NM",Single Car Accident,09/28/2020,09/06/2021,15659,58379,0,9091716,62
Margret Dawson,6458251,2857780,2/21/2020,89911,"Prague, OK",Multiple Car Accident,08/22/2021,11/03/2021,5749,58046,0,2101968,47
Elizabeth Williams,1828576,9240492,12/21/2020,72905,"Amherst, MA",Hit and Run,07/11/2021,08/23/2021,5210,46481,1,6442781,62
Raquel Weatherford,1203052,1792994,11/19/2020,26090,"Plainville, GA",Hit and Run,07/25/2021,09/16/2021,9323,16328,0,8208148,22
Warren Grubb,5087183,5715979,5/4/2020,40837,"Brewster, NE",Hit and Run,11/24/2021,11/26/2021,6814,20873,0,2681055,22
Edwin Flanders,3094080,5263262,4/12/2020,41626,"Bee Cave, TX",Single Car Accident,02/21/2021,04/24/2021,9932,18661,0,5727315,31
