User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Juan Grow,1382702,7980139,1/4/2020,31888,"Gilgo, NY",Multiple Car Accident,11/03/2021,11/05/2021,19730,40693,0,2570142,44
Brad James,9526481,4198352,3/22/2020,28414,"Kokhanok, AK",Single Car Accident,09/19/2021,11/14/2021,4568,54384,1,3877248,63
Wayne Smith,1575444,3338629,10/20/2020,46961,"Bazine, KS",Hit and Run,12/12/2020,10/19/2021,15619,8269,0,1265428,36
Alyssa Straus,1505967,3217494,7/24/2020,91722,"Graeagle, CA",Single Car Accident,05/25/2021,07/08/2021,7025,21470,0,5653220,32
Kristine Burt,7890596,1042116,10/12/2020,65634,"Spokane, LA",Multiple Car Accident,08/15/2021,11/24/2021,17637,25314,1,3537451,49
Michael Watson,8435555,8896700,11/8/2020,29734,"Lake Village, AR",Bike & Car Accident,03/13/2021,03/30/2021,5940,8230,0,8259428,55
William Barajas,6144699,1090834,9/4/2020,84478,"Fairmount, ND",Auto Theft,07/23/2021,09/08/2021,7864,27822,0,6658993,50
Diana Ohalloran,5366191,3335738,2/10/2020,56871,"Eldora, CO",Bike & Car Accident,09/02/2020,09/01/2021,11781,36998,0,8418746,58
Rafaela Holmes,9956072,5025578,7/16/2020,40235,"Dansville, NY",Hit and Run,09/23/2020,03/12/2021,10622,39595,0,4206446,31
Marion Giardina,4203858,6348107,5/23/2020,81906,"Storm Lake, IA",Multiple Car Accident,09/16/2020,04/24/2021,2022,34747,0,2717344,45
Linda Wagner,3654352,9451091,12/13/2020,54807,"Norton Center, MA",Bike & Car Accident,02/23/2021,04/25/2021,3838,27170,1,8326441,25
Dorothy Johnson,1333391,4022499,7/11/2020,32012,"Norfolk, VA",Single Car Accident,09/16/2020,10/12/2021,18877,40455,0,1099160,31
Rita Hernandez,8276535,9528829,7/17/2020,73208,"Mountain City, TN",Auto Theft,11/07/2021,11/23/2021,14569,15649,0,9360402,24
Nancy Edison,9932515,4350751,5/7/2020,75428,"Eaton, CO",Hit and Run,08/06/2020,11/11/2020,5999,15420,1,7728407,37
Juan Aldred,3247295,2760101,3/8/2020,25688,"Camden, MO",Multiple Car Accident,05/02/2020,02/22/2021,2979,38461,0,7635773,57
Holly Ball,3478921,3776547,5/25/2020,78208,"West Pleasant View, CO",Bike & Car Accident,10/17/2020,01/06/2021,8588,55927,1,2614151,31
Vincent Murat,1190534,1748456,7/17/2020,84311,"Gracey, KY",Hit and Run,07/20/2020,07/08/2021,12723,39281,1,5156563,18
Jeffrey Chech,7100471,2773296,12/6/2020,29916,"Norton Shores, MI",Multiple Car Accident,10/28/2021,11/02/2021,12245,45907,1,6035463,29
Barbara Montgomery,3382095,9793293,11/17/2020,91917,"Ten Mile Run, NJ",Auto Theft,02/02/2021,04/16/2021,13338,11019,1,8282284,33
Brandy Largent,3840490,7248381,7/12/2020,12080,"Bethune, SC",Auto Theft,07/17/2020,11/06/2020,11104,52680,1,6577325,40
Heather Grove,9951848,5657272,3/5/2020,74806,"Dover, TN",Multiple Car Accident,02/24/2021,10/04/2021,15994,19279,1,7878249,20
Cynthia Pinell,5737867,2090460,6/21/2020,75282,"Plymouth, IN",Single Car Accident,03/21/2021,07/14/2021,6751,34360,0,1679274,24
Dorothy Austin,8099102,9625841,5/21/2020,30718,"Belt, MT",Auto Theft,10/03/2021,11/04/2021,16542,33597,0,9325711,46
William Cena,5283970,5981748,10/28/2020,37047,"Evans City, PA",Bike & Car Accident,04/16/2021,08/16/2021,7837,48036,0,3996695,52
Gerard Chartier,4877347,7066015,8/15/2020,41386,"Pomaria, SC",Multiple Car Accident,10/22/2021,10/27/2021,6021,17061,0,3366939,46
Richard Hu,8303786,4558750,3/7/2020,74545,"Mansfield, TX",Bike & Car Accident,04/07/2020,07/01/2021,5262,41138,0,4998966,54
Junior Boggs,9951848,4968050,2/1/2020,82698,"Radcliffe, IA",Hit and Run,09/06/2020,08/13/2021,5542,12756,1,4668265,29
Michael Battle,3840490,6250717,5/17/2020,89952,"Damar, KS",Single Car Accident,04/11/2021,11/10/2021,19301,6532,1,6051822,47
Sherie Mckamey,3382095,7091343,2/22/2020,14730,"Rendon, TX",Single Car Accident,03/28/2020,04/20/2021,8327,36009,1,5787489,28
Larry Lane,3429006,3624606,3/21/2020,56680,"Meadowbrook, CA",Bike & Car Accident,06/10/2020,04/05/2021,9897,34635,1,2908816,16
Thomas Welch,1190534,3873859,7/11/2020,77773,"Converse, IN",Hit and Run,01/21/2021,05/27/2021,2856,37920,1,7637971,61
Mallory Gatlin,3478921,3776547,3/28/2020,46244,"Tyrone, GA",Multiple Car Accident,07/08/2021,11/25/2021,7639,13469,1,4476849,17
Jose Render,2457758,3151604,2/28/2020,85675,"Dermott, AR",Single Car Accident,11/21/2021,11/27/2021,7639,43961,0,4245679,40
Ida Matherne,8924247,4350751,6/22/2020,39654,"Union Star, MO",Auto Theft,11/22/2020,11/28/2021,2304,52536,1,2074234,60
Berna Mitchell,2607118,5811095,9/17/2020,78874,"River Heights, UT",Single Car Accident,11/07/2020,03/29/2021,10214,28380,0,1546053,60
Rachael Cantrell,8197050,6273535,11/16/2020,25257,"Neck City, MO",Single Car Accident,06/19/2021,09/25/2021,4624,50728,0,5670595,41
Juan Shaver,3654352,1018216,11/24/2020,83135,"Quemado, NM",Multiple Car Accident,11/14/2021,11/14/2021,14292,45591,1,3470910,22
Joseph Cassidy,3428768,5875313,1/3/2020,36243,"Barton Creek, TX",Single Car Accident,03/13/2021,08/20/2021,15504,20379,0,4225574,51
Roderick Smith,5072908,2510018,12/28/2020,45711,"Ontario, WI",Bike & Car Accident,05/06/2021,10/05/2021,19345,35756,0,5092449,26
Floyd Butler,7787792,1046306,7/13/2020,23555,"Cross Plains, TX",Multiple Car Accident,11/05/2021,11/26/2021,14812,8062,0,3139613,53
Brandi Yates,9367861,8019918,8/10/2020,58149,"Tehuacana, TX",Hit and Run,06/13/2021,08/22/2021,9299,54624,0,9382145,24
Jose Keene,3796449,5017212,9/16/2020,61128,"Domino, TX",Single Car Accident,06/01/2021,07/10/2021,16050,29582,0,5581334,52
Irene Muzzy,4619437,1042116,3/9/2020,84834,"Richlands, VA",Single Car Accident,11/15/2020,03/08/2021,8299,40518,1,2448702,26
Francis Watson,8558040,8583059,5/15/2020,74138,"Lake Annette, MO",Bike & Car Accident,07/21/2020,09/05/2021,5425,38980,0,3581514,56
Katherine Hale,3506700,7200149,6/14/2020,44353,"Walnut Hill, TN",Bike & Car Accident,08/15/2021,10/22/2021,8243,25639,0,2037441,51
Larry Schneider,7613993,4198352,6/20/2020,26594,"Leadwood, MO",Hit and Run,09/19/2020,11/25/2021,3879,34490,1,2896124,35
Robert Porat,2283424,9863809,4/25/2020,54546,"Clarkson, NE",Bike & Car Accident,06/01/2021,08/09/2021,3639,23394,0,3718429,42
Richard Ellenberger,2679631,5031243,2/11/2020,52949,"New Ringgold, PA",Hit and Run,11/12/2021,11/17/2021,4010,56916,0,9998900,41
Mary Ballenger,7329721,6948982,3/6/2020,94016,"Valmeyer, IL",Auto Theft,04/10/2021,06/08/2021,14243,56914,0,7691411,35
Valeria Pinto,9578807,1478690,7/2/2020,20341,"Bay Shore, NY",Hit and Run,07/05/2020,11/28/2020,3597,33299,0,8871587,32
Jeffrey Chech,7100471,3624606,12/6/2020,29916,"Norton Shores, MI",Multiple Car Accident,10/28/2021,11/02/2021,12245,45907,0,2544209,29
Floyd Butler,7787792,1046306,7/13/2020,23555,"Cross Plains, TX",Multiple Car Accident,11/05/2021,11/26/2021,14812,8062,0,6780176,53
Brad James,9526481,4198352,3/22/2020,72208,"Pocasset, MA",Auto Theft,01/12/2021,07/17/2021,11980,54384,0,6621822,63
Wayne Smith,1575444,3338629,10/20/2020,76129,"Brinkley, AR",Multiple Car Accident,11/14/2020,05/11/2021,13155,8269,0,2213235,36
Michael Watson,8435555,8896700,11/8/2020,88807,"Parklawn, CA",Bike & Car Accident,10/30/2021,11/14/2021,9791,8230,0,3591779,55
Dorothy Johnson,1333391,4022499,7/11/2020,57082,"Squaw Valley, CA",Hit and Run,11/22/2021,11/23/2021,12475,40455,0,4263172,31
Dorothy Austin,8099102,9625841,5/21/2020,62332,"Mason, WV",Multiple Car Accident,09/12/2021,11/14/2021,19730,33597,0,3694503,46
Junior Boggs,4608674,4968050,2/1/2020,55139,"Gordo, AL",Hit and Run,10/12/2021,11/06/2021,6664,12756,0,2016229,29
Michael Battle,3840490,6250717,5/17/2020,88352,"Quail Creek, TX",Single Car Accident,06/26/2021,07/16/2021,19765,6532,0,2878972,47
Sherie Mckamey,6417229,7091343,2/22/2020,89091,"Bayou Vista, TX",Multiple Car Accident,01/13/2021,09/24/2021,15231,36009,0,1462587,28
Larry Lane,3429006,2773296,3/21/2020,46483,"Good Hope, AL",Auto Theft,02/12/2021,07/28/2021,6143,34635,0,7049324,16
Berna Mitchell,2607118,5811095,9/17/2020,84935,"Scottsboro, AL",Single Car Accident,05/16/2021,06/11/2021,5323,28380,0,7557644,60
Juan Shaver,1560078,1018216,11/24/2020,56718,"Delta, OH",Auto Theft,01/27/2021,10/29/2021,7268,45591,0,1124487,22
Joseph Cassidy,3428768,5875313,1/3/2020,89598,"Foristell, MO",Hit and Run,08/15/2021,08/28/2021,15334,20379,0,7008559,51
Robert Porat,2283424,9863809,4/25/2020,62456,"Donahue, IA",Bike & Car Accident,10/03/2021,10/24/2021,10961,23394,0,6614289,42
Alyssa Straus,1505967,3217494,7/24/2020,84262,"Marine, IL",Multiple Car Accident,02/04/2021,05/22/2021,2172,21470,0,4681830,32
