User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Donald Mccurdy,7072990,8150431,11/3/2020,23951,"Rio Blanco, PR",Multiple Car Accident,06/25/2021,06/25/2021,7270,27640,1,4961088,62
Domingo Midgett,8070357,8251215,10/16/2020,92718,"Seymour, IL",Hit and Run,11/07/2020,11/29/2020,9588,32715,0,2268722,58
Anastasia Duque,8802265,4307665,3/5/2020,83257,"North Liberty, IA",Single Car Accident,05/27/2021,06/03/2021,8711,26376,0,3065577,46
Shannon Clifton,6940848,1263811,7/2/2020,25483,"New Whiteland, IN",Auto Theft,01/19/2021,05/28/2021,8461,7628,0,5567401,52
Brenda Diaz,8099693,6612843,9/17/2020,69339,"Kahaluu-Keauhou, HI",Auto Theft,05/12/2021,06/02/2021,11780,35378,0,5234489,20
Shirley Belinsky,5659703,4686600,12/15/2020,14019,"Meadow Bridge, WV",Multiple Car Accident,06/20/2021,06/25/2021,5677,52057,1,3595399,16
Brenda Barnes,3178737,1444045,4/19/2020,17257,"West Sand Lake, NY",Multiple Car Accident,05/15/2021,05/29/2021,6527,8628,0,7722200,54
Jack Gandy,5043622,9335288,8/5/2020,84662,"Osgood, MO",Single Car Accident,09/03/2020,11/07/2020,4269,56892,0,8003823,34
Theodore Sims,2540603,3087013,3/26/2020,97717,"Black, AL",Auto Theft,05/30/2020,05/30/2021,11932,58206,0,4468238,46
Wesley Koonce,4949464,6393917,10/12/2020,76358,"Bronaugh, MO",Single Car Accident,12/28/2020,03/05/2021,12300,30388,0,6176257,48
Ruth Muniz,1714550,8408315,10/11/2020,39555,"Shawnee, OH",Hit and Run,02/19/2021,06/03/2021,15155,36795,0,8295140,32
Art White,5267140,9720388,4/25/2020,61913,"Lorton, VA",Multiple Car Accident,05/18/2021,06/02/2021,9239,15643,1,3343392,40
Helen Durst,8359520,2982683,3/14/2020,30057,"Bloomington, MN",Single Car Accident,01/24/2021,05/26/2021,18579,8671,1,3623758,32
Johnathon Henry,2164826,5291229,9/23/2020,16791,"Coosada, AL",Hit and Run,01/27/2021,06/07/2021,11577,40306,0,2426800,42
Arlene Wright,6852305,6767445,6/25/2020,29627,"Wilsall, MT",Single Car Accident,08/09/2020,10/16/2020,14934,21569,1,5411688,46
Estelle Parker,2723818,8448038,12/10/2020,45535,"Winesburg, OH",Multiple Car Accident,12/21/2020,04/12/2021,10630,15104,0,2867226,19
John Weimer,5368637,4161624,6/9/2020,18625,"East Stroudsburg, PA",Single Car Accident,09/10/2020,09/25/2020,14779,49571,0,4642623,37
Lucas Taylor,9296488,1207454,12/20/2020,84486,"Kildare, OK",Auto Theft,03/30/2021,05/13/2021,4904,51041,0,4551493,39
Sherry Bell,4590225,7066009,6/28/2020,57052,"Indianapolis, IN",Hit and Run,09/19/2020,10/26/2020,19871,54250,1,6295709,29
Virginia Harrison,8881999,9340045,8/14/2020,25065,"Arvada, WY",Auto Theft,03/26/2021,05/26/2021,15237,51898,0,4286000,37
Timothy Sena,2068389,1364766,1/11/2020,53975,"Osterdock, IA",Bike & Car Accident,02/18/2020,05/29/2020,14996,46107,0,3165619,43
Jennifer Fowler,5264229,1163975,12/19/2020,48098,"Quamba, MN",Auto Theft,06/11/2021,06/22/2021,14234,58962,0,2379715,28
