User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Frank Ternullo,4977012,8901813,12/23/2020,61198,"Le Grand, IA",Single Car Accident,04/29/2021,06/05/2021,6593,46778,1,9915834,58
Elizabeth Seidl,8297546,8497701,9/25/2020,57250,"Los Indios, TX",Bike & Car Accident,05/01/2021,06/14/2021,6692,50853,0,4464355,60
Robert Harb,5787416,6375381,11/9/2020,93324,"Kohler, WI",Bike & Car Accident,06/21/2021,06/27/2021,8532,25337,1,3433704,19
Carroll Friesenhahn,9620795,5586484,11/28/2020,55903,"Orwell, OH",Single Car Accident,01/18/2021,05/17/2021,15608,44781,0,5732651,54
Bobbi Mcdonough,5599982,7062838,1/15/2020,53714,"Liberty, PA",Multiple Car Accident,11/08/2020,01/14/2021,7221,58099,1,9429211,16
Alberta Gan,1325282,5001336,3/6/2020,21512,"Tulia, TX",Bike & Car Accident,11/03/2020,06/28/2021,15553,6365,0,7632585,19
Peter Sellers,1085366,2146154,2/24/2020,44599,"Lowell, KS",Hit and Run,07/26/2020,01/14/2021,10693,49503,0,6496947,57
William Andrews,3670766,5372247,5/13/2020,45063,"Parkland, WA",Single Car Accident,11/26/2020,03/01/2021,2196,16417,1,4318940,20
Jan Phillips,4511587,8542453,3/7/2020,22996,"Flordell Hills, MO",Hit and Run,10/12/2020,01/14/2021,5948,17938,1,1898656,52
Barry Elia,2201109,4094045,9/22/2020,77364,"Harper, IA",Bike & Car Accident,12/23/2020,02/02/2021,17675,5926,0,4842561,47
Alvin Lavery,1084832,3035110,4/17/2020,76572,"Malinta, OH",Bike & Car Accident,08/08/2020,04/30/2021,17436,39777,0,2307721,64
Kathleen Powers,1558957,3892735,1/14/2020,11450,"Copperhill, TN",Multiple Car Accident,12/20/2020,06/26/2021,2511,29318,0,2849788,35
Margaret Folsom,1319962,7509612,2/8/2020,72833,"Orange City, FL",Hit and Run,09/18/2020,09/19/2020,8179,14311,0,2978480,53
Steve Korn,1260384,7516457,10/10/2020,62297,"Cassandra, PA",Auto Theft,12/30/2020,07/01/2021,11935,48393,0,2797404,45
Carrie Bucklew,1853996,9965104,6/12/2020,30306,"Bally, PA",Bike & Car Accident,06/27/2020,11/02/2020,8890,42017,0,3540753,29
Cheryl Jordan,7821443,1999513,4/9/2020,86710,"Seven Hills, OH",Multiple Car Accident,05/12/2021,05/25/2021,3451,16778,1,6890982,26
Mark Yeager,1856121,9424775,1/17/2020,60045,"Newport, RI",Multiple Car Accident,07/08/2020,12/14/2020,10858,10210,1,1945717,32
Melissa Plath,3783825,2363901,3/8/2020,97150,"B and E, TX",Bike & Car Accident,12/05/2020,02/17/2021,17434,40593,0,7142163,57
Marlene Hickman,5226331,2920409,2/4/2020,70636,"Prairie du Rocher, IL",Bike & Car Accident,12/13/2020,03/18/2021,16401,53510,0,2684427,41
Isabel Milardo,1454463,7779176,3/7/2020,37660,"Odin, MN",Multiple Car Accident,01/08/2021,03/17/2021,9351,53025,1,9796381,64
Joseph Prather,8573589,4630545,8/5/2020,94858,"Radcliff, KY",Bike & Car Accident,08/24/2020,01/10/2021,5793,14443,0,8579650,45
Maria Woodruff,5100874,6310599,5/20/2020,27194,"Solomons, MD",Multiple Car Accident,10/25/2020,04/11/2021,12397,39908,0,8432673,65
Crystal Curtis,5920185,1922985,11/2/2020,55410,"White Shield, ND",Bike & Car Accident,06/17/2021,06/23/2021,11764,10104,1,1945628,46
Stanley Bueche,7945442,6725627,10/2/2020,61403,"Shuqualak, MS",Bike & Car Accident,12/04/2020,12/25/2020,4660,34210,0,7169104,39
Gary Row,5383445,7463981,1/23/2020,56871,"Kings Beach, CA",Bike & Car Accident,08/18/2020,03/17/2021,16175,39338,0,4211181,17
Theresa Wansley,5977872,6653563,4/28/2020,94538,"Wenona, IL",Single Car Accident,05/10/2020,06/22/2020,7408,43336,0,5408279,64
Dean Adams,4863987,6037184,9/14/2020,58860,"Bigelow, AR",Auto Theft,01/31/2021,07/01/2021,3541,45201,1,7254792,61
Helen Milazzo,4736592,9128723,9/27/2020,46575,"Jersey Shore, PA",Multiple Car Accident,01/13/2021,05/25/2021,9814,41804,0,9056024,35
Sofia Dobbins,9397084,3668580,8/15/2020,49765,"Chelan Falls, WA",Single Car Accident,02/25/2021,06/27/2021,6499,20065,0,4944721,31
Christopher Gilcrease,5446411,2465803,12/12/2020,31277,"Cliffdell, WA",Hit and Run,01/13/2021,02/04/2021,2620,59156,0,1142514,22
Stephen Cooper,3299479,1141968,1/1/2020,91464,"Kernville, CA",Single Car Accident,06/01/2020,07/18/2020,3076,39570,0,9144377,43
Michael Hassett,9906108,8820677,7/7/2020,12805,"Englewood, NJ",Auto Theft,01/05/2021,06/14/2021,7119,30903,0,4541000,57
Susana Young,8471824,1254686,5/18/2020,49096,"Homestead, MO",Auto Theft,10/20/2020,04/09/2021,15510,30083,0,2640985,59
Derek Jennings,5527304,2166059,3/23/2020,16871,"Goshen, CA",Multiple Car Accident,01/19/2021,03/27/2021,5341,7659,1,4582766,33
